ما,ز
ز,یاد
یاد,به
به,عمدا
عمدا,چه
چه,میبری
میبری,خود
خود,آید
آید,آن
آن,که
که,یاد
یاد,نیاری
نیاری,ز
ز,نام
نام,ما
مستی,به
به,چشم
چشم,شاهد
شاهد,دلبند
دلبند,ما
ما,خوش
خوش,است
است,زان
زان,رو
رو,سپردهاند
سپردهاند,به
به,مستی
مستی,زمام
زمام,ما
ترسم,که
که,صرفهای
صرفهای,نبرد
نبرد,روز
روز,بازخواست
بازخواست,نان
نان,حلال
حلال,شیخ
شیخ,ز
ز,آب
آب,حرام
حرام,ما
حافظ,ز
ز,دیده
دیده,دانه
دانه,اشکی
اشکی,همیفشان
همیفشان,باشد
باشد,که
که,مرغ
مرغ,وصل
وصل,کند
کند,قصد
قصد,دام
دام,ما
دریای,اخضر
اخضر,فلک
فلک,و
و,کشتی
کشتی,هلال
هلال,هستند
هستند,غرق
غرق,نعمت
نعمت,حاجی
حاجی,قوام
قوام,ما
ای,فروغ
فروغ,ماه
ماه,حسن
حسن,از
از,روی
روی,رخشان
رخشان,شما
شما,آب
آب,روی
روی,خوبی
خوبی,از
از,چاه
چاه,زنخدان
زنخدان,شما
عزم,دیدار
دیدار,تو
تو,دارد
دارد,جان
جان,بر
بر,لب
لب,آمده
آمده,بازگردد
بازگردد,یا
یا,برآید
برآید,چیست
چیست,فرمان
فرمان,شما
کس,به
به,دور
دور,نرگست
نرگست,طرفی
طرفی,نبست
نبست,از
از,عافیت
عافیت,به
به,که
که,نفروشند
نفروشند,مستوری
مستوری,به
به,مستان
مستان,شما
بخت,خواب
خواب,آلود
آلود,ما
ما,بیدار
بیدار,خواهد
خواهد,شد
شد,مگر
مگر,زان
زان,که
که,زد
زد,بر
بر,دیده
دیده,آبی
آبی,روی
روی,رخشان
رخشان,شما
با,صبا
صبا,همراه
همراه,بفرست
بفرست,از
از,رخت
رخت,گلدستهای
گلدستهای,بو
بو,که
که,بویی
بویی,بشنویم
بشنویم,از
از,خاک
خاک,بستان
بستان,شما
عمرتان,باد
باد,و
و,مراد
مراد,ای
ای,ساقیان
ساقیان,بزم
بزم,جم
جم,گر
گر,چه
چه,جام
جام,ما
ما,نشد
نشد,پرمی
پرمی,به
به,دوران
دوران,شما
دل,خرابی
خرابی,میکند
میکند,دلدار
دلدار,را
را,آگه
آگه,کنید
کنید,زینهار
زینهار,ای
ای,دوستان
دوستان,جان
جان,من
من,و
و,جان
جان,شما
کی,دهد
دهد,دست
دست,این
این,غرض
غرض,یا
یا,رب
رب,که
که,همدستان
همدستان,شوند
شوند,خاطر
خاطر,مجموع
مجموع,ما
ما,زلف
زلف,پریشان
پریشان,شما
دور,دار
دار,از
از,خاک
خاک,و
و,خون
خون,دامن
دامن,چو
چو,بر
بر,ما
ما,بگذری
بگذری,کاندر
کاندر,این
این,ره
ره,کشته
کشته,بسیارند
بسیارند,قربان
قربان,شما
میکند,حافظ
حافظ,دعایی
دعایی,بشنو
بشنو,آمینی
آمینی,بگو
بگو,روزی
روزی,ما
ما,باد
باد,لعل
لعل,شکرافشان
شکرافشان,شما
ای,صبا
صبا,با
با,ساکنان
ساکنان,شهر
شهر,یزد
یزد,از
از,ما
ما,بگو
بگو,کای
کای,سر
سر,حق
حق,ناشناسان
ناشناسان,گوی
گوی,چوگان
چوگان,شما
گر,چه
چه,دوریم
دوریم,از
از,بساط
بساط,قرب
قرب,همت
همت,دور
دور,نیست
نیست,بنده
بنده,شاه
شاه,شماییم
شماییم,و
و,ثناخوان
ثناخوان,شما
ای,شهنشاه
شهنشاه,بلنداختر
بلنداختر,خدا
خدا,را
را,همتی
همتی,تا
تا,ببوسم
ببوسم,همچو
همچو,اختر
اختر,خاک
خاک,ایوان
ایوان,شما
میدمد,صبح
صبح,و
و,کله
کله,بست
بست,سحاب
سحاب,الصبوح
الصبوح,الصبوح
الصبوح,یا
یا,اصحاب
میچکد,ژاله
ژاله,بر
بر,رخ
رخ,لاله
لاله,المدام
المدام,المدام
المدام,یا
یا,احباب
میوزد,از
از,چمن
چمن,نسیم
نسیم,بهشت
بهشت,هان
هان,بنوشید
بنوشید,دم
دم,به
به,دم
دم,می
می,ناب
تخت,زمرد
زمرد,زده
زده,است
است,گل
گل,به
به,چمن
چمن,راح
راح,چون
چون,لعل
لعل,آتشین
آتشین,دریاب
در,میخانه
میخانه,بستهاند
بستهاند,دگر
دگر,افتتح
افتتح,یا
یا,مفتح
مفتح,الابواب
لب,و
و,دندانت
دندانت,را
را,حقوق
حقوق,نمک
نمک,هست
هست,بر
بر,جان
جان,و
و,سینههای
سینههای,کباب
این,چنین
چنین,موسمی
موسمی,عجب
عجب,باشد
باشد,که
که,ببندند
ببندند,میکده
میکده,به
به,شتاب
بر,رخ
رخ,ساقی
ساقی,پری
پری,پیکر
پیکر,همچو
همچو,حافظ
حافظ,بنوش
بنوش,باده
باده,ناب
گفتم,ای
ای,سلطان
سلطان,خوبان
خوبان,رحم
رحم,کن
کن,بر
بر,این
این,غریب
غریب,گفت
گفت,در
در,دنبال
دنبال,دل
دل,ره
ره,گم
گم,کند
کند,مسکین
مسکین,غریب
گفتمش,مگذر
مگذر,زمانی
زمانی,گفت
گفت,معذورم
معذورم,بدار
بدار,خانه
خانه,پروردی
پروردی,چه
چه,تاب
تاب,آرد
آرد,غم
غم,چندین
چندین,غریب
خفته,بر
بر,سنجاب
سنجاب,شاهی
شاهی,نازنینی
نازنینی,را
را,چه
چه,غم
غم,گر
گر,ز
ز,خار
خار,و
و,خاره
خاره,سازد
سازد,بستر
بستر,و
و,بالین
بالین,غریب
ای,که
که,در
در,زنجیر
زنجیر,زلفت
زلفت,جای
جای,چندین
چندین,آشناست
آشناست,خوش
خوش,فتاد
فتاد,آن
آن,خال
خال,مشکین
مشکین,بر
بر,رخ
رخ,رنگین
رنگین,غریب
مینماید,عکس
عکس,می
می,در
در,رنگ
رنگ,روی
روی,مه
مه,وشت
وشت,همچو
همچو,برگ
برگ,ارغوان
ارغوان,بر
بر,صفحه
صفحه,نسرین
نسرین,غریب
بس,غریب
غریب,افتاده
افتاده,است
است,آن
آن,مور
مور,خط
خط,گرد
گرد,رخت
رخت,گر
گر,چه
چه,نبود
نبود,در
در,نگارستان
نگارستان,خط
خط,مشکین
مشکین,غریب
گفتم,ای
ای,شام
شام,غریبان
غریبان,طره
طره,شبرنگ
شبرنگ,تو
تو,در
در,سحرگاهان
سحرگاهان,حذر
حذر,کن
کن,چون
چون,بنالد
بنالد,این
این,غریب
گفت,حافظ
حافظ,آشنایان
آشنایان,در
در,مقام
مقام,حیرتند
حیرتند,دور
دور,نبود
نبود,گر
گر,نشیند
نشیند,خسته
خسته,و
و,مسکین
مسکین,غریب
ای,شاهد
شاهد,قدسی
قدسی,که
که,کشد
کشد,بند
بند,نقابت
نقابت,و
و,ای
ای,مرغ
مرغ,بهشتی
بهشتی,که
که,دهد
دهد,دانه
دانه,و
و,آبت
خوابم,بشد
بشد,از
از,دیده
دیده,در
در,این
این,فکر
فکر,جگرسوز
جگرسوز,کاغوش
کاغوش,که
که,شد
شد,منزل
منزل,آسایش
آسایش,و
و,خوابت
درویش,نمیپرسی
نمیپرسی,و
و,ترسم
ترسم,که
که,نباشد
نباشد,اندیشه
اندیشه,آمرزش
آمرزش,و
و,پروای
پروای,ثوابت
راه,دل
دل,عشاق
عشاق,زد
زد,آن
آن,چشم
چشم,خماری
خماری,پیداست
پیداست,از
از,این
این,شیوه
شیوه,که
که,مست
مست,است
است,شرابت
تیری,که
که,زدی
زدی,بر
بر,دلم
دلم,از
از,غمزه
غمزه,خطا
خطا,رفت
رفت,تا
تا,باز
باز,چه
چه,اندیشه
اندیشه,کند
کند,رای
رای,صوابت
هر,ناله
ناله,و
و,فریاد
فریاد,که
که,کردم
کردم,نشنیدی
نشنیدی,پیداست
پیداست,نگارا
نگارا,که
که,بلند
بلند,است
است,جنابت
دور,است
است,سر
سر,آب
آب,از
از,این
این,بادیه
بادیه,هش
هش,دار
دار,تا
تا,غول
غول,بیابان
بیابان,نفریبد
نفریبد,به
به,سرابت
تا,در
در,ره
ره,پیری
پیری,به
به,چه
چه,آیین
آیین,روی
روی,ای
ای,دل
دل,باری
باری,به
به,غلط
غلط,صرف
صرف,شد
شد,ایام
ایام,شبابت
ای,قصر
قصر,دل
دل,افروز
افروز,که
که,منزلگه
منزلگه,انسی
انسی,یا
یا,رب
رب,مکناد
مکناد,آفت
آفت,ایام
ایام,خرابت
حافظ,نه
نه,غلامیست
غلامیست,که
که,از
از,خواجه
خواجه,گریزد
گریزد,صلحی
صلحی,کن
کن,و
و,بازآ
بازآ,که
