SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
6593,3.27808772,8.97E-05,0.3050559,0.14393939,12,11,12,6,FALSE,جوید,348.9166667,12,0,6,0,0.87896693,FALSE,0,جوید,137478,0.11384172
6594,3.61659943,0,0.27650284,1,2,12,2,1,FALSE,میسراید,627,2,0,1,0,0.86555149,FALSE,0,میسراید,0,0.52424749
6595,3.09947644,1.02E-05,0.32263514,0.28571429,8,11,8,4,FALSE,مطبوع,586.7142857,8,0,4,1,0.8810142,FALSE,0,مطبوع,18755,0.17667814
6596,3.48107459,4.90E-07,0.28726762,0,2,12,2,1,FALSE,میشمرم,325,2,0,1,0,0.8576842,FALSE,0,میشمرم,1214,0.50546022
6597,3.40485795,8.20E-07,0.29369801,0.41666667,4,11,4,2,FALSE,آبستن,469.75,4,0,2,0,0.86890257,FALSE,0,آبستن,3226,0.30170199
6598,3.6165136,6.00E-08,0.2765094,0,2,12,2,1,FALSE,نمینماید,72,2,0,1,0,0.84584443,FALSE,0,نمینماید,75,0.51824818
6599,4.21371556,3.74E-06,0.23732024,0,3,12,3,2,FALSE,میدارم,224,3,0,1,0,0.8575233,FALSE,0,میدارم,7054,0.3383915
6600,3.6165136,8.00E-08,0.2765094,0,2,12,2,1,FALSE,زداید,87.5,2,0,1,0,0.84682645,FALSE,0,زداید,196,0.53726708
6601,3.3834864,6.00E-05,0.29555313,0.1,5,11,5,2,FALSE,سپه,238.8,5,0,3,0,0.86397026,FALSE,0,سپه,67048,0.23261719
6602,2.94807313,2.43E-05,0.33920461,0.41025641,14,11,14,7,FALSE,گشاید,685.6153846,14,0,7,1,0.89260985,FALSE,0,گشاید,112786,0.13215408
6603,0,0,0,0,1,0,1,1,FALSE,جواز,222,1,0,0,0,0.84947847,FALSE,0,جواز,0,0
6604,0,0,0,0,1,0,1,1,FALSE,گاز,50,1,0,0,0,0.83873169,FALSE,0,گاز,0,0
6605,3.59883272,1.50E-07,0.27786788,0,2,12,2,1,FALSE,برند,228,2,0,1,0,0.85552042,FALSE,0,برند,604,0.5496368
6606,3.66964209,1.71E-06,0.27250614,0,4,12,4,2,FALSE,سروت,117,4,0,2,0,0.8545051,FALSE,0,سروت,3117,0.27488152
6607,3.44030555,2.80E-07,0.29067186,0,2,11,2,1,FALSE,ببریدهاند,401.5,2,0,1,0,0.86046383,FALSE,0,ببریدهاند,740,0.51084184
6608,3.44562698,7.93E-05,0.29022294,0.23809524,8,11,8,4,FALSE,غزلهای,692.4285714,8,0,4,1,0.88338881,FALSE,0,غزلهای,73879,0.18605991
6609,3.1682259,1.61E-05,0.31563406,0.26363636,11,11,11,5,FALSE,فکند,471.2727273,11,0,6,0,0.88179095,FALSE,0,فکند,31142,0.1361141
6610,2.96798558,1.35E-04,0.33692886,0.17836257,22,10,22,10,FALSE,جسم,445,22,0,12,2,0.89087328,FALSE,0,جسم,358141,0.09141844
